NAME,Ampicillin,Broad-Spectrum Cephalosporins,Chloramphenicol,Ciprofloxacin,Sulfonamides,Trimethoprim,Co-Trimoxazole,Tetracycline,Azithromycin,Colistin,Meropenem
15619,1,0,1,1,1,1,1,0,1,0,0
18541,0,0,0,1,0,0,0,0,0,0,0
18575,0,0,0,1,0,0,0,0,0,0,0
18668,0,0,0,1,0,0,0,0,0,0,0
18669,0,0,0,1,0,0,0,0,0,0,0
18673,0,0,0,1,0,0,0,0,0,0,0
20939,0,0,0,0,0,0,0,0,0,0,0
21093,0,0,0,1,0,0,0,0,0,0,0
21130,0,0,0,1,0,0,0,0,0,0,0
21133,0,0,0,0,0,0,0,0,0,0,0
21852,0,0,0,1,0,0,0,0,0,0,0
21873,0,0,0,1,0,0,0,0,0,0,0
23504,0,0,0,1,0,0,0,0,0,0,0
25197,0,0,0,1,0,0,0,0,0,0,0
25270,0,0,0,1,0,0,0,0,0,0,0
29314,1,0,1,1,1,1,1,0,0,0,0
32480,0,0,0,1,0,0,0,0,1,0,0
32481,1,0,1,1,1,1,1,0,0,0,0
37840,0,0,0,1,0,0,0,0,0,0,0
38433,0,0,0,0,0,0,0,0,0,0,0
38434,0,0,0,0,0,0,0,0,0,0,0
38435,0,0,0,1,0,0,0,0,0,0,0
42141,0,0,0,1,0,0,0,0,0,0,0
43969,0,0,0,1,0,0,0,0,0,0,0
45205,0,0,0,1,0,0,0,0,0,0,0
50881,0,0,0,1,0,0,0,0,0,0,0
50891,0,0,0,1,0,0,0,0,0,0,0
51301,0,0,0,1,0,0,0,0,0,0,0
52952,1,0,1,1,1,1,1,0,0,0,0
53042,0,0,0,1,0,0,0,0,0,0,0
53052,0,0,0,1,0,0,0,0,0,0,0
53067,0,0,0,1,0,0,0,0,0,0,0
53075,0,0,0,1,0,0,0,0,0,0,0
56108,0,0,0,0,0,0,0,0,0,0,0
56940,0,0,0,1,0,0,0,0,0,0,0
56941,0,0,0,1,0,0,0,0,0,0,0
56972,0,0,0,1,0,0,0,0,0,0,0
56973,1,0,1,1,1,1,1,0,0,0,0
56974,1,0,1,1,1,1,1,0,0,0,0
56975,0,0,0,1,0,0,0,0,0,0,0
60161,0,0,0,1,0,0,0,0,0,0,0
63670,0,0,0,0,0,0,0,0,0,0,0
65343,1,0,1,1,1,1,1,0,1,0,0
68666,0,0,0,1,0,0,0,0,0,0,0
68667,0,0,0,1,0,0,0,0,0,0,0
68700,0,0,0,1,0,0,0,0,0,0,0
68940,0,0,0,1,0,0,0,0,0,0,0
68941,0,0,0,1,0,0,0,0,0,0,0
69886,1,0,1,1,1,1,1,0,0,0,0
69930,1,0,1,1,1,1,1,0,0,0,0
75985,1,0,1,1,1,1,1,0,0,0,0
82539,1,0,1,1,1,1,1,0,0,0,0
82540,0,0,0,0,0,0,0,0,0,0,0
82541,0,0,0,1,0,0,0,0,0,0,0
83284,0,0,0,1,0,0,0,0,0,0,0
83566,1,0,1,1,1,1,1,0,0,0,0
83574,0,0,0,1,0,0,0,0,0,0,0
83732,0,0,0,1,0,0,0,0,0,0,0
83733,1,0,1,1,1,1,1,0,0,0,0
84444,0,0,0,1,0,0,0,0,0,0,0
84463,0,0,0,1,0,0,0,0,0,0,0
85746,0,0,0,1,0,0,0,0,0,0,0
86904,0,0,0,0,0,0,0,0,0,0,0
89090,0,0,0,1,0,0,0,0,0,0,0
89091,0,0,0,1,0,0,0,0,0,0,0
89987,0,0,0,1,0,0,0,0,0,0,0
90484,0,0,0,1,0,0,0,0,0,0,0
90486,0,0,0,0,0,0,0,0,0,0,0
90493,0,0,0,1,0,0,0,0,0,0,0
90520,0,0,0,1,0,0,0,0,0,0,0
91181,0,0,0,1,0,0,0,0,0,0,0
91204,0,0,0,1,0,0,0,0,0,0,0
91240,0,0,0,1,0,0,0,0,0,0,0
91241,1,0,1,1,1,1,1,0,0,0,0
91251,0,0,0,1,0,0,0,0,0,0,0
91252,0,0,0,1,0,0,0,0,0,0,0
91253,0,0,0,1,0,0,0,0,0,0,0
93507,0,0,0,1,0,0,0,0,0,0,0
93508,0,0,0,1,0,0,0,0,0,0,0
95261,0,0,0,1,0,0,0,0,0,0,0
97258,0,0,0,1,0,0,0,0,0,0,0
97875,1,0,1,1,1,1,1,0,0,0,0
98260,0,0,0,1,0,0,0,0,0,0,0
98261,0,0,0,1,0,0,0,0,0,0,0
99081,0,0,0,1,0,0,0,0,0,0,0
99753,0,0,0,1,0,0,0,0,0,0,0
101335,1,0,1,1,1,1,1,0,0,0,0
101437,0,0,0,1,0,0,0,0,0,0,0
101438,0,0,0,1,0,0,0,0,0,0,0
101481,0,0,0,1,0,0,0,0,0,0,0
101482,0,0,0,1,0,0,0,0,0,0,0
102535,0,0,0,1,0,0,0,0,0,0,0
102536,0,0,0,1,0,0,0,0,0,0,0
102537,0,0,0,1,0,0,0,0,0,0,0
103603,0,0,0,1,0,0,0,0,0,0,0
103663,1,0,1,1,1,1,1,0,0,0,0
105324,0,0,0,1,0,0,0,0,0,0,0
107232,0,0,0,1,0,0,0,0,0,0,0
107244,0,0,0,0,0,0,0,0,0,0,0
107251,0,0,0,1,0,0,0,0,0,0,0
107323,0,0,0,1,0,0,0,0,0,0,0
107778,0,0,0,0,0,0,0,0,0,0,0
109865,0,0,0,1,0,0,0,0,0,0,0
113504,0,0,0,1,0,0,0,0,0,0,0
115988,1,0,1,1,1,1,1,0,0,0,0
115992,0,0,0,1,0,0,0,0,0,0,0
116032,0,0,0,1,0,0,0,0,0,0,0
116033,1,0,1,1,1,1,1,0,0,0,0
116034,0,0,0,1,0,0,0,0,0,0,0
116036,1,0,1,1,1,1,1,0,0,0,0
116585,1,0,1,1,1,1,1,0,0,0,0
116586,0,0,0,1,0,0,0,0,0,0,0
117258,0,0,0,1,0,0,0,0,0,0,0
117286,0,0,0,1,0,0,0,0,0,0,0
117289,1,0,1,0,1,1,1,0,0,0,0
117606,0,0,0,1,0,0,0,0,0,0,0
117674,0,0,0,1,0,0,0,0,0,0,0
118964,1,0,1,1,1,1,1,0,0,0,0
119425,1,0,1,0,1,1,1,0,0,0,0
119426,0,0,0,0,0,0,0,0,0,0,0
119431,0,0,0,1,0,0,0,0,0,0,0
119469,1,0,1,1,1,1,1,0,0,0,0
122241,0,0,0,1,0,0,0,0,0,0,0
122242,0,0,0,1,0,0,0,0,0,0,0
122643,0,0,0,1,0,0,0,0,0,0,0
122692,0,0,0,1,0,0,0,0,0,0,0
123842,0,0,0,1,0,0,0,0,0,0,0
123954,0,0,0,1,0,0,0,0,0,0,0
126106,1,0,1,1,1,1,1,0,0,0,0
126204,0,0,0,0,0,0,0,0,0,0,0
126207,0,0,0,1,0,0,0,0,0,0,0
127522,0,0,0,1,0,0,0,0,0,0,0
128205,1,0,1,1,1,1,1,0,0,0,0
130506,1,0,1,0,1,1,1,0,0,0,0
131442,0,0,0,0,0,0,0,0,0,0,0
131536,0,0,0,1,0,0,0,0,0,0,0
131539,0,0,0,1,0,0,0,0,0,0,0
131542,1,0,1,0,1,1,1,0,0,0,0
132015,1,0,1,1,1,1,1,0,0,0,0
132016,0,0,0,0,0,0,0,0,0,0,0
140227,0,0,0,0,0,0,0,0,0,0,0
142487,0,0,0,1,0,0,0,0,0,0,0
142681,0,0,0,1,0,0,0,0,0,0,0
142682,0,0,0,0,0,0,0,0,0,0,0
143536,0,0,0,1,0,0,0,0,0,0,0
143952,0,0,0,1,0,0,0,0,0,0,0
143954,0,0,0,1,0,0,0,0,0,0,0
146180,0,0,0,1,0,0,0,0,0,0,0
149239,0,0,0,1,0,0,0,0,0,0,0
149242,0,0,1,0,1,1,1,0,0,0,0
149338,1,0,1,1,1,1,1,1,0,0,0
149452,0,0,0,0,0,0,0,0,0,0,0
152487,0,0,0,1,0,0,0,0,0,0,0
152491,1,0,1,1,1,1,1,0,0,0,0
152494,0,0,0,1,0,0,0,0,0,0,0
152495,0,0,0,1,0,0,0,0,0,0,0
155733,0,0,0,1,0,0,0,0,0,0,0
155734,0,0,0,1,0,0,0,0,0,0,0
155735,0,0,0,0,0,0,0,0,0,0,0
155742,0,0,0,0,0,0,0,0,0,0,0
155743,1,0,1,1,1,1,1,0,0,0,0
155768,0,0,1,0,1,1,1,0,0,0,0
155814,0,0,0,1,0,0,0,0,0,0,0
157040,0,0,0,1,0,0,0,0,0,0,0
157058,1,0,1,1,1,1,1,0,0,0,0
157216,0,0,0,0,0,0,0,0,0,0,0
157222,0,0,0,1,0,0,0,0,0,0,0
157231,0,0,0,1,0,0,0,0,0,0,0
157261,1,0,1,1,1,1,1,0,0,0,0
158918,0,0,0,1,0,0,0,0,0,0,0
158920,0,0,0,1,0,0,0,0,0,0,0
158922,1,0,1,1,1,1,1,0,0,0,0
158923,0,0,0,1,0,0,0,0,0,0,0
161048,0,0,0,1,0,0,0,0,0,0,0
161049,0,0,0,0,0,0,0,0,0,0,0
161051,0,0,0,1,0,0,0,0,0,0,0
161052,1,0,1,1,1,1,1,0,0,0,0
161902,0,0,0,1,0,0,0,0,0,0,0
163223,1,0,1,1,1,1,1,0,0,0,0
163229,0,0,0,1,0,0,0,0,0,0,0
164835,0,0,0,1,0,0,0,0,0,0,0
164902,0,0,0,0,0,0,0,0,0,0,0
166273,0,0,0,1,0,0,0,0,0,0,0
166339,0,0,0,0,0,0,0,0,0,0,0
168317,0,0,0,1,0,0,0,0,0,0,0
168318,0,0,0,1,0,0,0,0,0,0,0
171294,0,0,0,1,0,0,0,0,0,0,0
171329,0,0,0,0,1,1,1,1,0,0,0
171342,0,0,0,0,0,0,0,0,0,0,0
172294,0,0,0,1,0,0,0,0,0,0,0
172310,0,0,0,1,0,0,0,0,0,0,0
172311,0,0,0,1,0,0,0,0,0,0,0
173585,0,0,0,1,0,0,0,0,0,0,0
173759,0,0,0,1,0,0,0,0,0,0,0
173761,1,0,1,1,1,1,1,0,0,0,0
173765,0,0,0,1,0,0,0,0,0,0,0
174759,1,0,1,1,1,1,1,0,0,0,0
176412,0,0,0,1,0,0,0,0,0,0,0
179622,1,0,1,1,1,1,1,0,0,0,0
179800,0,0,0,1,0,0,0,0,0,0,0
179814,1,0,1,1,1,1,1,0,0,0,0
182064,0,0,0,1,0,0,0,0,0,0,0
182073,0,0,0,1,0,0,0,0,0,0,0
183617,1,0,1,1,1,1,1,0,0,0,0
183647,1,0,1,1,1,1,1,0,0,0,0
183656,1,0,1,1,1,1,1,1,0,0,0
183735,1,0,1,1,1,1,1,0,0,0,0
184395,0,0,0,1,0,0,0,0,0,0,0
184397,1,0,1,1,1,1,1,0,0,0,0
184503,0,0,0,0,0,0,0,0,0,0,0
185430,0,0,0,1,0,0,0,0,0,0,0
185853,0,0,0,0,0,0,0,0,0,0,0
185874,0,0,0,1,0,0,0,0,0,0,0
186519,0,0,0,1,0,0,0,0,0,0,0
186520,0,0,0,1,0,0,0,0,0,0,0
186582,0,0,0,1,0,0,0,0,0,0,0
187565,0,0,0,1,0,0,0,0,0,0,0
188173,0,0,0,1,0,0,0,0,0,0,0
188363,0,0,0,1,0,0,0,0,0,0,0
189261,0,0,0,1,0,0,0,0,0,0,0
195834,0,0,0,0,0,0,0,0,0,0,0
196388,1,0,1,1,1,1,1,0,0,0,0
196996,1,0,1,1,1,1,1,0,0,0,0
197077,0,0,0,1,0,0,0,0,0,0,0
200631,0,0,0,1,0,0,0,0,0,0,0
200634,1,0,1,1,1,1,1,1,0,0,0
201545,0,0,0,1,0,0,0,0,0,0,0
203377,0,0,0,1,0,0,0,0,0,0,0
203379,1,0,1,1,1,1,1,0,0,0,0
205588,0,0,0,1,0,0,0,0,0,0,0
206713,0,0,0,1,0,0,0,0,0,0,0
207584,1,0,1,1,1,1,1,0,0,0,0
208724,0,0,0,1,0,0,0,0,0,0,0
208725,0,0,0,1,0,0,0,0,0,0,0
208761,0,0,0,1,0,0,0,0,0,0,0
211143,0,0,0,1,0,0,0,0,0,0,0
211756,0,0,0,0,0,0,0,0,0,0,0
212757,0,0,0,1,0,0,0,0,0,0,0
214578,1,0,1,1,1,1,1,0,0,0,0
214579,0,0,0,1,0,0,0,0,0,0,0
216315,1,0,1,1,1,1,1,0,0,0,0
216339,1,0,1,1,1,1,1,0,0,0,0
216994,0,0,0,1,0,0,0,0,0,0,0
218472,0,0,0,1,0,0,0,0,0,0,0
220459,0,0,0,1,0,0,0,0,0,0,0
221700,1,0,1,1,1,1,1,0,0,0,0
221701,1,0,1,1,1,1,1,0,0,0,0
222161,0,0,0,1,0,0,0,0,0,0,0
224130,0,0,0,1,0,0,0,0,0,0,0
229066,0,0,0,1,0,0,0,0,0,0,0
229163,1,0,1,1,1,1,1,0,0,0,0
229164,0,0,0,0,0,0,0,0,0,0,0
236189,0,0,0,1,0,0,0,0,0,0,0
236191,0,0,0,1,0,0,0,0,0,0,0
236253,0,0,0,1,0,0,0,0,0,0,0
238380,0,0,0,1,0,0,0,0,0,0,0
238381,0,0,0,1,0,0,0,0,0,0,0
238765,0,0,0,1,0,0,0,0,0,0,0
240164,0,0,0,1,0,0,0,0,0,0,0
242364,1,0,1,1,1,1,1,0,0,0,0
243876,0,0,0,1,0,0,0,0,0,0,0
245587,0,0,0,1,0,0,0,0,0,0,0
247223,0,0,0,1,0,0,0,0,0,0,0
247247,0,0,0,1,0,0,0,0,0,0,0
248621,0,0,0,1,0,0,0,0,0,0,0
253869,1,0,1,1,1,1,1,1,0,0,0
267722,0,0,0,1,0,0,0,0,0,0,0
271028,0,0,0,1,0,0,0,0,0,0,0
278191,1,0,1,1,1,1,1,0,0,0,0
282584,0,0,0,1,0,0,0,0,0,0,0
285801,0,0,0,1,0,0,0,0,0,0,0
285842,0,0,0,1,0,0,0,0,0,0,0
287766,1,0,1,0,1,1,1,0,0,0,0
289677,0,0,0,1,0,0,0,0,0,0,0
291713,1,0,1,1,1,1,1,0,0,0,0
293002,0,0,0,1,0,0,0,0,0,0,0
293010,0,0,0,1,0,0,0,0,0,0,0
294969,0,0,0,1,0,0,0,0,0,0,0
296207,0,0,0,1,0,0,0,0,0,0,0
296222,0,0,1,1,1,1,1,0,0,0,0
296635,1,0,1,1,1,1,1,0,0,0,0
296822,0,0,0,1,0,0,0,0,0,0,0
298897,0,0,0,1,0,0,0,0,0,0,0
299395,0,0,0,1,0,0,0,0,0,0,0
299396,0,0,0,1,0,0,0,0,0,0,0
300658,0,0,0,1,0,0,0,0,0,0,0
302602,0,0,1,1,1,1,1,0,0,0,0
302604,0,0,0,1,0,0,0,0,0,0,0
304415,0,0,0,1,1,1,1,1,0,0,0
304416,0,0,0,1,0,0,0,0,0,0,0
307466,0,0,0,0,0,0,0,0,0,0,0
308759,0,0,0,1,0,0,0,0,0,0,0
310271,0,0,0,1,0,0,0,0,0,0,0
311418,0,0,0,1,0,0,0,0,0,0,0
316347,1,0,1,1,1,1,1,0,0,0,0
316660,0,0,0,1,0,0,0,0,0,0,0
318582,0,0,0,0,0,0,0,0,0,0,0
319724,0,0,0,1,0,0,0,0,0,0,0
320184,0,0,0,0,0,0,0,0,0,0,0
320272,0,0,0,1,0,0,0,0,0,0,0
329141,0,0,0,1,0,0,0,0,0,0,0
329879,0,0,0,1,0,0,0,0,0,0,0
329884,0,0,0,1,0,0,0,0,0,0,0
329887,0,0,0,1,0,0,0,0,0,0,0
330438,0,0,0,1,0,0,0,0,0,0,0
330503,0,0,0,1,0,0,0,0,0,0,0
333376,0,0,0,0,0,0,0,0,0,0,0
335038,0,0,0,1,0,0,0,0,0,0,0
337070,0,0,0,1,0,0,0,0,0,0,0
337082,1,0,1,1,1,1,1,0,0,0,0
337114,0,0,0,1,0,0,0,0,0,0,0
338438,1,0,1,1,1,1,1,0,0,0,0
339493,1,0,1,1,1,1,1,0,0,0,0
340181,1,0,1,1,1,1,1,0,0,0,0
340238,0,0,0,1,0,0,0,0,0,0,0
340241,0,0,0,1,0,0,0,0,0,0,0
341275,0,0,0,1,0,0,0,0,0,0,0
341276,0,0,0,1,0,0,0,0,0,0,0
342550,1,0,1,1,1,1,1,0,0,0,0
342643,0,0,0,1,0,0,0,0,0,0,0
342649,0,0,0,1,0,0,0,0,0,0,0
343717,1,0,1,1,1,1,1,0,0,0,0
343799,1,0,1,1,1,1,1,0,0,0,0
345419,0,0,0,1,0,0,0,0,0,0,0
345424,0,0,0,0,0,0,0,0,0,0,0
345425,0,0,0,1,0,0,0,0,0,0,0
345426,0,0,0,1,1,1,1,1,0,0,0
345427,1,0,0,1,1,1,1,1,0,0,0
345581,0,0,0,1,0,0,0,0,0,0,0
345582,0,0,0,1,0,0,0,0,0,0,0
346583,0,0,0,1,0,0,0,0,0,0,0
346893,0,0,0,0,0,0,0,0,0,0,0
346899,1,0,1,1,1,1,1,0,0,0,0
348081,0,0,0,1,0,0,0,0,0,0,0
348734,1,0,1,1,1,1,1,0,0,0,0
351267,0,0,0,1,0,0,0,0,0,0,0
351324,1,0,1,1,1,1,1,0,0,0,0
353870,0,0,0,1,0,0,0,0,0,0,0
353877,1,0,1,1,1,1,1,0,0,0,0
353885,1,0,1,1,1,1,1,0,0,0,0
355024,0,0,0,1,0,0,0,0,0,0,0
355025,0,0,0,1,0,0,0,0,0,0,0
356097,1,0,1,1,1,1,1,0,0,0,0
356321,0,0,0,1,0,0,0,0,0,0,0
358440,0,0,0,1,0,0,0,0,0,0,0
360345,0,0,0,1,0,0,0,0,0,0,0
362107,0,0,0,1,0,0,0,0,0,0,0
364177,0,0,0,1,0,0,0,0,0,0,0
365314,0,0,0,0,0,0,0,0,0,0,0
366287,0,0,0,1,0,0,0,0,0,0,0
367315,1,0,1,1,1,1,1,0,0,0,0
369054,0,0,0,1,0,0,0,0,0,0,0
369949,0,0,0,1,0,0,0,0,0,0,0
370912,1,0,1,1,1,1,1,0,0,0,0
371794,0,0,0,1,0,0,0,0,0,0,0
374594,0,0,0,1,0,0,0,0,0,0,0
378610,1,0,1,1,1,1,1,0,0,0,0
387213,0,0,0,1,0,0,0,0,0,0,0
388723,1,0,1,0,1,1,1,0,0,0,0
391124,0,0,0,0,0,0,0,0,0,0,0
423183,1,1,1,1,1,1,1,0,0,0,0
429038,1,1,0,1,0,0,0,0,0,0,0
430040,1,1,0,1,0,0,0,0,0,0,0
458426,1,1,0,1,0,0,0,0,0,0,0
490271,1,1,1,1,1,1,1,0,0,0,0
611427,1,1,1,1,1,1,1,0,0,0,0
643112,1,1,1,1,1,1,1,0,0,0,0
663131,1,1,1,1,1,1,1,0,0,0,0
672572,1,1,0,1,0,0,0,0,0,0,0
672574,1,1,1,1,1,1,1,0,0,0,0
676410,1,1,1,1,1,1,1,0,0,0,0
678025,1,1,1,1,1,1,1,0,0,0,0
680084,1,1,1,1,1,1,1,0,0,0,0
681355,1,1,0,1,0,0,0,0,0,0,0
686749,1,1,1,1,1,1,1,0,0,0,0
690325,1,1,1,1,1,1,1,0,0,0,0
697897,1,1,1,1,1,1,1,0,0,0,0
724583,1,1,1,1,1,1,1,0,0,0,0
730973,1,1,1,1,1,1,1,0,0,0,0
735088,1,1,1,1,1,1,1,0,0,0,0
749413,1,1,1,1,1,1,1,0,0,0,0
767624,1,1,1,1,1,1,1,0,0,0,0
772865,1,1,1,1,1,1,1,0,0,0,0
782094,1,1,1,1,1,1,1,0,0,0,0
798438,1,1,1,1,1,1,1,0,0,0,0
800602,1,1,1,1,1,1,1,0,0,0,0
801143,1,1,1,1,1,1,1,0,0,0,0
801489,1,1,1,1,1,1,1,0,0,0,0
808871,1,1,1,1,1,1,1,0,0,0,0
814955,1,1,1,1,1,1,1,0,0,0,0
816253,1,1,1,1,1,1,1,0,0,0,0
818193,1,1,1,1,1,1,1,0,0,0,0
824393,1,1,1,1,1,1,1,0,0,0,0
824494,1,1,1,1,1,1,1,0,0,0,0
834291,1,1,1,1,1,1,1,0,0,0,0
834848,1,1,1,1,1,1,1,0,0,0,0
871213,1,1,1,1,1,1,1,0,0,0,0
877298,1,1,1,1,1,1,1,0,0,0,0
879304,1,1,1,1,1,1,1,0,0,0,0
879991,1,1,1,1,1,1,1,0,0,0,0
880355,1,1,1,1,1,1,1,0,0,0,0
882861,1,1,1,1,1,1,1,0,0,0,0
884420,1,1,1,1,1,1,1,0,0,0,0
884427,1,1,1,1,1,1,1,0,0,0,0
885154,1,1,1,1,1,1,1,0,0,0,0
885163,1,1,1,1,1,1,1,0,0,0,0
888113,1,1,1,1,1,1,1,0,0,0,0
890414,1,1,1,1,1,1,1,0,0,0,0
892742,1,1,1,1,1,1,1,0,0,0,0
895926,1,1,1,1,1,1,1,0,0,0,0
903519,1,1,1,1,1,1,1,0,0,0,0
903551,1,1,1,1,1,1,1,0,0,0,0
904644,1,1,0,1,1,0,0,0,0,0,0
904656,1,1,1,1,1,1,1,0,0,0,0
905412,1,1,1,1,1,1,1,0,0,0,0
908986,1,1,1,1,1,1,1,0,0,0,0
914495,1,1,1,1,1,1,1,0,0,0,0
917873,1,1,1,1,1,1,1,0,0,0,0
920101,1,1,1,1,1,1,1,0,0,0,0
2010758257,1,0,1,0,1,1,1,1,0,0,0
2010758347,1,0,1,0,1,1,1,1,0,0,0
2010758424,1,0,1,0,1,1,1,1,0,0,0
2010758602,1,0,1,1,1,1,1,1,0,0,0
2011731267,1,0,1,0,1,1,1,1,0,0,0
2011731274,1,0,1,0,1,1,1,1,0,0,0
2011731303,1,0,1,0,1,1,1,1,0,0,0
2011731482,1,0,1,0,1,1,1,1,0,0,0
2011731485,1,0,1,0,1,1,1,1,0,0,0
2011731566,1,0,1,1,1,1,1,1,0,0,0
2011731699,1,0,1,0,1,1,1,1,0,0,0
2011731737,1,0,1,1,1,1,1,1,0,0,0
2011731763,1,0,1,0,1,1,1,1,0,0,0
2011731796,1,0,1,0,1,1,1,1,0,0,0
2011732466,1,0,1,0,1,1,1,1,0,0,0
2011732483,1,0,1,0,1,1,1,1,0,0,0
2011736351,1,0,1,0,1,1,1,1,0,0,0
2011736425,0,0,0,0,0,0,0,0,0,0,0
2011740533,1,0,1,0,1,1,1,1,0,0,0
2011740612,1,0,1,0,1,1,1,1,0,0,0
2011740790,1,0,1,0,1,1,1,1,0,0,0
2011740814,1,0,1,0,1,1,1,1,0,0,0
2011740872,1,0,1,0,1,1,1,1,0,0,0
2011741567,0,0,0,0,0,0,0,0,0,0,0
2011741582,0,0,0,0,0,0,0,0,0,0,0
2011741744,1,0,1,0,1,1,1,1,0,0,0
2011741885,1,0,1,0,1,1,1,1,0,0,0
2011745646,1,0,1,0,1,1,1,1,0,0,0
2011745945,1,0,1,0,1,1,1,1,0,0,0
2011747401,1,0,1,0,1,1,1,1,0,0,0
2011750383,1,0,1,0,1,1,1,1,0,0,0
2011750411,1,0,1,0,1,1,1,1,0,0,0
2011750428,1,0,1,0,1,1,1,1,0,0,0
2011750601,1,0,1,0,1,1,1,1,0,0,0
2011750677,0,0,0,1,0,0,0,0,0,0,0
2011750771,1,0,1,0,1,1,1,1,0,0,0
2011751050,1,0,1,0,1,1,1,1,0,0,0
2011751132,1,0,1,1,1,1,1,1,0,0,0
2011751208,0,0,0,1,0,0,0,0,0,0,0
2011751233,1,0,1,0,1,1,1,1,0,0,0
2011751364,1,0,1,0,1,1,1,1,0,0,0
2011751738,1,0,1,0,1,1,1,1,0,0,0
2011751973,1,0,1,0,1,1,1,1,0,0,0
2011752087,1,0,1,0,1,1,1,1,0,0,0
2011752322,1,0,1,0,1,1,1,1,0,0,0
2012106455,1,0,1,1,1,1,1,1,0,0,0
2012106621,1,0,1,1,1,1,1,1,0,0,0
2012113041,0,0,0,0,0,0,0,0,0,0,0
2012113059,1,0,1,0,1,1,1,0,0,0,0
2012113075,1,0,1,1,1,1,1,1,0,0,0
2012113125,1,0,0,1,0,0,0,0,0,0,0
2012113780,0,0,0,0,0,0,0,0,0,0,0
2012113910,0,0,0,0,0,0,0,0,0,0,0
2012119497,1,0,1,0,1,1,1,1,0,0,0
2013115453,1,0,1,1,1,1,1,1,0,0,0
2013117358,0,0,0,0,0,0,0,0,0,0,0
2013117808,1,0,1,1,1,1,1,1,0,0,0
2013118144,1,0,1,1,1,1,1,1,0,0,0
2013122084,1,0,1,1,1,1,1,1,0,0,0
010032TY,0,0,0,0,0,0,0,0,0,0,0
010038TY,1,0,1,1,1,1,1,1,0,0,0
010042TY,0,0,0,0,0,0,0,0,0,0,0
010067TY,0,0,0,0,0,0,0,0,0,0,0
010068TY,0,0,0,0,0,0,0,0,0,0,0
010099TY,1,0,1,1,1,1,1,1,0,0,0
01TY052,0,0,0,1,0,0,0,0,0,0,0
01TY061,0,0,0,1,0,0,0,0,0,0,0
01TY065,0,0,0,1,0,0,0,0,0,0,0
01TY066,0,0,0,0,0,0,0,0,0,0,0
01TY069,0,0,0,1,0,0,0,0,0,0,0
01TY072,0,0,1,0,1,1,1,1,0,0,0
01TY073,0,0,0,1,0,0,0,0,0,0,0
01TY075,0,0,0,0,0,0,0,0,0,0,0
